post_id,title,score,num_comments,author,collected_at,category
47739174,Show HN: Oberon System 3 runs natively on Raspberry Pi 3 (with ready SD card),242,109,Rochus,2026-04-15 21:03:19.223676,entertainment
47760360,An Amazon warehouse worker died on the job at Oregon facility,19,5,cebert,2026-04-15 21:03:28.296592,worldnews
47769183,"40% of lost calories globally are from beef, needing 33 cal of feed per 1 cal",169,284,randycupertino,2026-04-15 21:03:36.251258,worldnews
47713495,Team from ETH Zurich make high quality quantum swap gate using a geometric phase,239,56,joko42,2026-04-15 21:03:43.608992,sports
47722333,"Chimpanzees in Uganda locked in eight-year 'civil war', say researchers",439,277,neversaydie,2026-04-15 21:03:46.314711,worldnews
47761825,Roblox devs now need a subscription to share their games freely,70,69,hallole,2026-04-15 21:03:59.447793,sports
47770323,Why Amazon Is Buying Starlink Rival Globalstar in $11B Deal,17,8,JumpCrisscross,2026-04-15 21:04:10.769573,worldnews
47701769,The Bra-and-Girdle Maker That Fashioned the Impossible for NASA,135,19,sohkamyung,2026-04-15 21:04:28.716209,science
47764975,Man suspected of Molotov attack Sam Altmans home charged with attempted murder,21,5,Bender,2026-04-15 21:04:41.339292,worldnews
47721997,Show HN: FluidCAD – Parametric CAD with JavaScript,157,38,maouida,2026-04-15 21:04:44.044251,entertainment
47761442,Show HN: Deflect One – command line dashboard for managing Linux servers via SSH,8,7,whitemanv,2026-04-15 21:04:46.861091,entertainment
47708818,Native Instant Space Switching on macOS,643,328,PaulHoule,2026-04-15 21:04:55.589765,science
47698111,Bevy game development tutorials and in-depth resources,139,82,GenericCanadian,2026-04-15 21:04:58.409364,sports
47733066,New synthesis of astronomical measurements shows Hubble tension is real,75,14,anigbrowl,2026-04-15 21:05:16.452194,entertainment
47721946,JSON formatter Chrome plugin now closed and injecting adware,287,136,jkl5xx,2026-04-15 21:05:23.024400,worldnews
47705413,Show HN: I built a Cargo-like build tool for C/C++,177,169,randerson_112,2026-04-15 21:05:39.441951,entertainment
47763185,An open letter to the UK Government on digital privacy,19,5,vsajip,2026-04-15 21:05:43.049564,worldnews
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",48,25,behat,2026-04-15 21:05:50.966351,entertainment
47722011,Show HN: A WYSIWYG word processor in Python,91,39,chrisecker,2026-04-15 21:05:57.454342,entertainment
47749295,Show HN: Equirect – a Rust VR video player,14,1,greggman65,2026-04-15 21:06:03.236454,sports
47747248,"Haunt, the 70s text adventure game, is now playable on a website",82,26,jscalo,2026-04-15 21:06:12.220430,sports
47755938,Warp,7,1,Resayours,2026-04-15 21:06:18.008673,worldnews
47758453,Your Favorite Movies Were CIA Propaganda [video],34,4,joe_mamba,2026-04-15 21:06:33.243130,entertainment
47721255,Show HN: Eve – Managed OpenClaw for work,72,41,zachdive,2026-04-15 21:06:44.065496,entertainment
47757552,Show HN: Continual Learning with .md,34,28,wenhan_zhou,2026-04-15 21:06:55.373260,entertainment
47730522,Show HN: Waffle – Native macOS terminal that auto-tiles sessions into a grid,40,21,olleeolleeollee,2026-04-15 21:06:59.155361,entertainment
47728323,Relics of the Heroic Age of Manned Space Flight,20,1,zdgeier,2026-04-15 21:07:06.207069,science
47762994,Ransomware Is Growing Three Times Faster Than the Spending Meant to Stop It,86,89,adulion,2026-04-15 21:07:13.871474,worldnews
47699470,The Life and Death of the Book Review,30,7,lermontov,2026-04-15 21:07:19.759465,entertainment
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),63,33,babawere,2026-04-15 21:07:25.436156,entertainment
47692043,Muse Spark: Scaling towards personal superintelligence,392,367,chabons,2026-04-15 21:07:32.112869,worldnews
47689165,"Show HN: I pipe free sports streams into Jellyfin – no ads, just HLS",120,36,pruz,2026-04-15 21:07:34.708239,sports
47745300,Show HN: A social feed with no strangers,9,5,rpatni,2026-04-15 21:07:41.118228,entertainment
47754329,Show HN: Farchive – SQLite-backed history-preserving compressed archive,6,0,ekns,2026-04-15 21:07:43.713143,entertainment
47767172,IMF warns global economy at risk of recession if Iran war persists,8,0,Cider9986,2026-04-15 21:07:51.766361,worldnews
47765164,Amazon to acquire Globalstar and expand Amazon Leo satellite network,9,1,tosh,2026-04-15 21:07:58.964839,worldnews
47764690,Amazon to Buy Satellite Operator Globalstar,8,0,marc__1,2026-04-15 21:08:07.212366,worldnews
